Gid,SE_T025_006,SE_T025_007,SE_T025_004,SE_T025_005,SE_T025_002,SE_T025_003,SE_T025_001,SE_T002_003,SE_T002_002,SE_T002_001,SE_T025_008,SE_T050_011,SE_T050_010,SE_T050_013,SE_T050_012,SE_T050_014,SE_T078_002,SE_T139_067,SE_T182_001,SE_T139_122,SE_T053_001,SE_T053_003,SE_T053_002,SE_T053_005,SE_T053_004,SE_T053_006,SE_T139_034,SE_T147_001,SE_T013_005,SE_T013_004,SE_T013_007,SE_T013_006,SE_T013_001,SE_T059_001,SE_T013_003,SE_T013_002,SE_T056_017,SE_T145_002,SE_T007_002,SE_T013_008,SE_T007_001,SE_T139_085,SE_T157_001,SE_T081_001,SE_T081_002,SE_T050_006,SE_T050_007,SE_T050_004,SE_T050_005,SE_T050_002,SE_T050_003,SE_T108_002,SE_T050_001,SE_T005_001,SE_T139_002,SE_T145_001,SE_T050_008,SE_T050_009,SE_T030_001,SE_T030_002,SE_T083_001,SE_T094_003,SE_T004_001,SE_T080_001,SE_T004_003,SE_T004_002,SE_T057_001,SE_T139_091,SE_T094_001,SE_T182_007,SE_T108_001,SE_T139_001,SE_T182_002,SE_T007_013,SE_T080_002,SE_T056_001,SE_T056_002,SE_T078_001
14000US24031700813,11.38,2.71,22.1,23.54,10.3,23.9,100.0,0.951768888504503,6299.849,5996,6.07,0,9.75,3.35,5.35,4.2,20.22,12.59,100.0,0,100.0,17.77,68.14,6.5,7.59,0,22.32,36,8.37,0.22,6.02,0,100.0,93733.0352707402,22.46,56.19,6.95,10.48,10.81,6.74,100.0,0,0.4117,100.0,11.82,3.68,9.1,2.2,1.97,16.81,29.75,80.33,100.0,100.0,7.31,100.0,2.46,11.36,100.0,8.98,33704,30.05,100.0,100.0,55.74,44.26,77127,57.78,100.0,0.45,100.0,100.0,8.0,1.23,5.12,100.0,7.0,100.0
14000US24031700812,17.62,2.67,21.62,25.95,9.7,21.13,100.0,0.670730134656995,6084.414,4081,1.3,0,12.48,2.75,6.93,4.95,22.55,9.46,100.0,0,100.0,14.59,69.86,7.75,7.8,0,31.99,38,13.87,0.27,9.19,0,100.0,109252.611464968,12.37,59.67,15.1,10.44,4.09,4.63,100.0,0,0.4351,100.0,22.48,4.17,8.44,2.39,1.1,18.39,27.94,83.05,100.0,100.0,11.17,100.0,3.17,7.29,100.0,0,43219,21.46,100.0,100.0,53.15,46.85,77500,47.38,100.0,0,100.0,100.0,10.38,3.26,2.68,100.0,4.84,100.0
14000US49005000900,6.49,0.6,37.52,24.96,9.59,17.93,100.0,0.661404994926617,5092.19,3368,2.92,1.17,17.74,8.04,1.81,8.58,20.47,0,100.0,1.83,100.0,21.36,62.71,8.63,5.86,1.44,74.85,15,11.88,0,0.5,1.28,100.0,42219.2125984252,0,82.96,0,11.41,6.44,3.38,100.0,2.43,0.3833,100.0,12.83,5.75,3.57,0.37,0.85,9.86,25.09,59.58,100.0,100.0,1.42,100.0,4.16,13.0,100.0,0,16283,55.2,100.0,100.0,56.59,43.41,35886,19.47,100.0,0,100.0,100.0,4.17,0.71,1.42,100.0,7.17,100.0
14000US28051950300,3.06,0.56,16.61,8.06,28.08,43.5,100.0,142.870580095352,17.28837,2470,0.14,1.74,9.91,19.65,10.43,9.22,31.14,0,100.0,0,100.0,27.13,64.52,5.74,2.61,0,0,28,0,0,0,0,100.0,28079.1351351351,92.15,7.85,0.86,20.45,9.6,0,100.0,0,0.5815,100.0,10.05,6.09,5.22,3.13,1.91,5.91,15.83,26.23,100.0,100.0,0,100.0,3.48,7.48,100.0,4.6,10773,49.3,100.0,100.0,56.52,43.48,15344,100.0,100.0,0,100.0,100.0,22.49,1.66,3.35,100.0,35.57,100.0
14000US27173970100,2.77,1.39,38.16,10.28,8.53,38.65,100.0,147.507957565827,21.20564,3128,0.22,0.68,15.88,5.89,8.5,9.37,33.9,30.43,100.0,0,100.0,19.85,56.89,8.25,14.89,0.12,39.13,15,0.29,9.49,0.64,0,100.0,66281.1683320523,0.61,83.44,2.92,12.87,5.82,5.53,100.0,0,0.397,100.0,16.99,4.84,3.35,2.17,1.55,16.69,18.67,55.34,100.0,100.0,0,100.0,3.97,8.44,100.0,0,27844,20.83,100.0,100.0,47.57,52.43,58125,30.43,100.0,3.31,100.0,100.0,6.0,2.05,5.3,100.0,4.15,100.0
14000US45083022005,11.84,0,38.11,25.97,4.21,18.53,100.0,4.23830342071083,1225.726,5195,1.35,0,11.67,9.49,7.83,6.67,22.83,6.47,100.0,0,100.0,16.05,67.86,10.76,5.33,0,21.44,21,3.5,0.21,4.41,0,100.0,72299.0757855823,21.69,69.57,2.13,9.27,4.68,0.62,100.0,0,0.364,100.0,18.81,2.72,1.27,1.52,0.54,18.22,29.38,67.51,100.0,100.0,14.23,100.0,1.27,9.42,100.0,0,30477,36.0,100.0,100.0,51.22,48.78,68141,57.86,100.0,0,100.0,100.0,1.85,1.27,0,100.0,3.65,100.0
14000US45083022004,1.81,0.12,32.07,10.85,20.19,33.82,100.0,3.44403603414379,743.8947,2562,1.15,0,9.05,23.26,5.07,8.14,35.56,12.28,100.0,0,100.0,16.56,72.04,4.07,7.33,0,80.12,23,7.49,0.35,0,0,100.0,46488.4509624198,44.89,47.27,1.28,10.77,6.71,0,100.0,0,0.4003,100.0,18.33,8.78,5.7,1.99,1.0,6.33,18.01,60.43,100.0,100.0,7.02,100.0,4.98,7.69,100.0,1.34,20116,27.04,100.0,100.0,48.09,51.91,41086,0.58,100.0,0.82,100.0,100.0,6.78,0.78,2.02,100.0,8.62,100.0
14000US42129802500,3.62,0.56,22.66,21.05,6.01,46.1,100.0,0.563115350341392,3997.405,2251,0,0.08,12.3,7.25,10.95,3.88,29.3,0,100.0,0,100.0,3.62,77.76,12.3,5.48,0.84,0,21,0,0,1.51,0,100.0,49606.2271062271,1.33,96.58,0,9.46,1.78,0.58,100.0,23.91,0.3446,100.0,23.08,8.85,2.95,1.43,1.94,10.87,16.34,65.83,100.0,100.0,0,100.0,2.53,20.64,100.0,6.31,24341,30.59,100.0,100.0,50.87,49.13,43289,76.09,100.0,0.55,100.0,100.0,7.78,2.58,2.93,100.0,7.23,100.0
14000US45083022006,7.86,0,28.25,11.27,17.29,34.76,100.0,6.50053204879714,674.714,4386,0.57,0,16.74,18.29,10.31,5.13,28.9,0,100.0,3.55,100.0,14.05,75.54,7.82,2.24,0.35,14.89,19,0.34,0.07,0.34,0,100.0,48749.6287128713,55.22,43.89,0.37,20.29,7.3,0.14,100.0,0,0.3817,100.0,16.46,8.02,4.53,1.74,0.4,11.36,16.69,68.83,100.0,100.0,39.72,100.0,0,6.78,100.0,10.76,18717,35.27,100.0,100.0,54.17,45.83,36680,41.84,100.0,3.47,100.0,100.0,7.67,1.19,4.08,100.0,5.57,100.0
14000US31037964600,4.63,0.96,39.15,13.41,5.89,35.84,100.0,107.869966965098,21.78549,2350,0.12,3.52,13.62,10.49,9.08,7.28,33.79,0,100.0,0,100.0,11.35,63.69,9.23,15.1,0.63,50.0,20,0.13,0.21,0,0.77,100.0,66004.0156709109,0.55,96.81,2.15,5.54,5.87,1.53,100.0,0,0.4104,100.0,10.48,3.29,3.13,3.52,0.94,14.55,19.64,43.38,100.0,100.0,0,100.0,1.96,9.0,100.0,0,28970,22.33,100.0,100.0,54.26,45.74,55759,50.0,100.0,4.21,100.0,100.0,2.84,5.11,0.49,100.0,3.92,100.0
